deal_id,title,status,stage_id,pd_value,opp_in_twenty,opp_id,gap_reason
506,Public AI Training Adela Corazon Silva,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
505,Public AI Training Argonza Aesthetics & Dermopigmentation Academy,open,30,0,Y,ef363558-4fb3-444b-b1a5-53c7220d31d1,
504,Marketing Services Lead Christopher Cameron,open,25,0,Y,135a350d-efc6-4ba8-9396-2cd498601709,
503,Marketing Services Lead Pauline Bay,open,1,0,Y,e75eb2c5-685a-4dac-bbd0-3c168e1eb456,
502,Public AI Training Link Strategies,open,30,0,Y,47d1678d-da4b-4e68-8497-f52c9f3470ae,
501,Public AI Training Link Strategies,open,30,0,Y,cd1d1051-08a1-46b9-8c5f-e7d96f113693,
500,AI training Lead Rey Harold Yu,open,2,0,Y,e317551d-681a-4467-bb63-0f170c7aaf9c,
499,Marketing Services Lead Jace Jung,open,19,0,Y,40d55323-b1fd-45db-b3a5-07a9d5300b5b,
498,Public AI Training Ian Cacho,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
497,Public AI Training DMAP - TRUELOGIC INC,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
496,Public AI Training DMAP - TRUELOGIC INC,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
495,AI Executive Training MaryAnn Z. Amamangpang,open,1,0,Y,57b432fe-a880-44c4-bbd9-0450e53c9337,
494,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
493,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
492,Public AI Training Bryels Care Manufacturing Corporation,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
491,Training Form Anna Dominique Santos,open,2,0,Y,8380aa25-3610-4e51-b9cd-b849d7dc716d,
490,"Public AI Training DMAP Global Dominion Financing, Inc.",open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
489,"Public AI Training DMAP Global Dominion Financing, Inc",open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
488,"Public AI Training DMAP Global Dominion Financing, Inc.",open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
487,"Public AI Training DMAP Global Dominion Financing, Inc.",open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
486,"Public AI Training DMAP GLOBAL DOMINION FINANCING, INC.",open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
485,Public AI Training John Andrew Marquez,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
484,Public AI Training RUSS RAMILO,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
483,Public AI Training Jade,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
482,Public AI Training Drexxel Santos,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
481,Public AI Training DMAP Ace Saatchi & Saatchi,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
480,Public AI Training Reza reyes,open,30,0,N,,"EXCLUDED PIPELINE (Public AI Training, stage 30)"
479,DAVID LUMABAN GATDULA,open,2,0,Y,165e7a18-0e41-4519-be0f-8589e6aa55d0,
